run_id,instance_id,repo,controller,execution_mode,execute_status,success,final_target_test_pass,catastrophic_failure,test_runs,verification_events,search_count,read_count,patch_attempts,patch_apply_successes,fallback_events,post_error_extra_work,best_problem_reduction,final_problem_reduction,model_calls,prompt_tokens,completion_tokens,total_tokens,latency_seconds,tool_calls,context_files,context_bytes,files_changed,lines_changed,failed_verification_jobs,recovery_attempts,expected_choice,predicted_choice,route,workload_risk,quality_risk,notes
lmstudio_executable_context_gate,exec_window_boundary,controlled/executable,direct_low,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,227,300,527,10.4499,0,1,548,1,0,1,0,C,,minimal_context,low,high,"{""parsed"": {}}"
lmstudio_executable_context_gate,exec_window_boundary,controlled/executable,standard_full,lmstudio_executable_context_budget,completed,0,0,1,1,1,1,3,1,0,0,0,0.0,0.0,3,815,1260,2075,40.6526,0,1,652,1,0,1,0,C,,full_context,low,high,"{""diagnosis"": {}, ""decision"": {}, ""verify"": {}}"
lmstudio_executable_context_gate,exec_mutable_default,controlled/executable,direct_low,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,187,300,487,9.3791,0,1,550,1,0,1,0,B,,minimal_context,low,high,"{""parsed"": {}}"
lmstudio_executable_context_gate,exec_mutable_default,controlled/executable,standard_full,lmstudio_executable_context_budget,completed,0,0,1,1,1,1,3,1,0,0,0,0.0,0.0,3,671,1260,1931,39.6123,0,1,676,1,0,1,0,B,,full_context,low,high,"{""diagnosis"": {}, ""decision"": {}, ""verify"": {}}"
lmstudio_executable_context_gate,exec_join_url,controlled/executable,direct_low,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,175,300,475,9.2916,0,1,474,1,0,1,0,A,,minimal_context,low,high,"{""parsed"": {}}"
lmstudio_executable_context_gate,exec_join_url,controlled/executable,standard_full,lmstudio_executable_context_budget,completed,0,0,1,1,1,1,3,1,0,0,0,0.0,0.0,3,611,1260,1871,39.2277,0,1,591,1,0,1,0,A,,full_context,low,high,"{""diagnosis"": {}, ""decision"": {}, ""verify"": {}}"
lmstudio_executable_context_gate,exec_topk_order,controlled/executable,direct_low,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,160,300,460,9.2686,0,1,404,1,0,1,0,B,,minimal_context,low,high,"{""parsed"": {}}"
lmstudio_executable_context_gate,exec_topk_order,controlled/executable,standard_full,lmstudio_executable_context_budget,completed,0,0,1,1,1,1,3,1,0,0,0,0.0,0.0,3,575,1260,1835,40.3243,0,1,490,1,0,1,0,B,,full_context,low,high,"{""diagnosis"": {}, ""decision"": {}, ""verify"": {}}"
lmstudio_executable_context_gate,exec_window_boundary,controlled/executable,context_gate_medium_high,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,227,300,527,10.4499,0,1,548,1,0,1,0,C,,gate_minimal_context,low,high,"{""derived_from"": ""direct_low"", ""policy"": ""medium_high"", ""original_notes"": ""{\""parsed\"": {}}""}"
lmstudio_executable_context_gate,exec_mutable_default,controlled/executable,context_gate_medium_high,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,187,300,487,9.3791,0,1,550,1,0,1,0,B,,gate_minimal_context,low,high,"{""derived_from"": ""direct_low"", ""policy"": ""medium_high"", ""original_notes"": ""{\""parsed\"": {}}""}"
lmstudio_executable_context_gate,exec_join_url,controlled/executable,context_gate_medium_high,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,175,300,475,9.2916,0,1,474,1,0,1,0,A,,gate_minimal_context,low,high,"{""derived_from"": ""direct_low"", ""policy"": ""medium_high"", ""original_notes"": ""{\""parsed\"": {}}""}"
lmstudio_executable_context_gate,exec_topk_order,controlled/executable,context_gate_medium_high,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,160,300,460,9.2686,0,1,404,1,0,1,0,B,,gate_minimal_context,low,high,"{""derived_from"": ""direct_low"", ""policy"": ""medium_high"", ""original_notes"": ""{\""parsed\"": {}}""}"
lmstudio_executable_context_gate,exec_window_boundary,controlled/executable,context_gate_high_only,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,227,300,527,10.4499,0,1,548,1,0,1,0,C,,gate_minimal_context,low,high,"{""derived_from"": ""direct_low"", ""policy"": ""high_only"", ""original_notes"": ""{\""parsed\"": {}}""}"
lmstudio_executable_context_gate,exec_mutable_default,controlled/executable,context_gate_high_only,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,187,300,487,9.3791,0,1,550,1,0,1,0,B,,gate_minimal_context,low,high,"{""derived_from"": ""direct_low"", ""policy"": ""high_only"", ""original_notes"": ""{\""parsed\"": {}}""}"
lmstudio_executable_context_gate,exec_join_url,controlled/executable,context_gate_high_only,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,175,300,475,9.2916,0,1,474,1,0,1,0,A,,gate_minimal_context,low,high,"{""derived_from"": ""direct_low"", ""policy"": ""high_only"", ""original_notes"": ""{\""parsed\"": {}}""}"
lmstudio_executable_context_gate,exec_topk_order,controlled/executable,context_gate_high_only,lmstudio_executable_context_budget,completed,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,160,300,460,9.2686,0,1,404,1,0,1,0,B,,gate_minimal_context,low,high,"{""derived_from"": ""direct_low"", ""policy"": ""high_only"", ""original_notes"": ""{\""parsed\"": {}}""}"
