time_hours,survival,split,gate_group
0.0,1.0,repository_disjoint,routed
0.0005555555555555556,0.9995821145006268,repository_disjoint,routed
0.0011111111111111111,0.9983284580025074,repository_disjoint,routed
0.001388888888888889,0.9962390305056416,repository_disjoint,routed
0.0016666666666666668,0.9945674885081488,repository_disjoint,routed
0.0019444444444444444,0.9916422900125366,repository_disjoint,routed
0.0022222222222222222,0.9853740075219389,repository_disjoint,routed
0.0025,0.983284580025073,repository_disjoint,routed
0.002777777777777778,0.9786878395319681,repository_disjoint,routed
0.0030555555555555557,0.9720016715419973,repository_disjoint,routed
0.0033333333333333335,0.968658587547012,repository_disjoint,routed
0.003611111111111111,0.9644797325532802,repository_disjoint,routed
0.0038888888888888888,0.9628081905557876,repository_disjoint,routed
0.004166666666666667,0.9586293355620559,repository_disjoint,routed
0.0044444444444444444,0.9565399080651901,repository_disjoint,routed
0.004722222222222222,0.9544504805683243,repository_disjoint,routed
0.005,0.9519431675720852,repository_disjoint,routed
0.005277777777777778,0.9506895110739657,repository_disjoint,routed
0.005555555555555556,0.9494358545758462,repository_disjoint,routed
0.005833333333333334,0.9486000835770999,repository_disjoint,routed
0.006111111111111111,0.9469285415796073,repository_disjoint,routed
0.006388888888888889,0.9456748850814877,repository_disjoint,routed
0.006944444444444444,0.9452569995821145,repository_disjoint,routed
0.007222222222222222,0.944003343083995,repository_disjoint,routed
0.0075,0.9423318010865024,repository_disjoint,routed
0.0077777777777777776,0.9402423735896366,repository_disjoint,routed
0.008055555555555555,0.9398244880902634,repository_disjoint,routed
0.008333333333333333,0.9385708315921439,repository_disjoint,routed
0.008611111111111111,0.9377350605933976,repository_disjoint,routed
0.008888888888888889,0.9368992895946513,repository_disjoint,routed
0.009444444444444445,0.9364814040952781,repository_disjoint,routed
0.009722222222222222,0.9356456330965317,repository_disjoint,routed
0.01,0.9352277475971585,repository_disjoint,routed
0.010277777777777778,0.9339740910990391,repository_disjoint,routed
0.010555555555555556,0.9335562055996659,repository_disjoint,routed
0.010833333333333334,0.9327204346009196,repository_disjoint,routed
0.011111111111111112,0.9318846636021731,repository_disjoint,routed
0.011666666666666667,0.9314667781028,repository_disjoint,routed
0.011944444444444445,0.9302131216046805,repository_disjoint,routed
0.012777777777777779,0.9293773506059342,repository_disjoint,routed
0.013333333333333334,0.9285415796071879,repository_disjoint,routed
0.01361111111111111,0.9281236941078147,repository_disjoint,routed
0.013888888888888888,0.9277058086084415,repository_disjoint,routed
