split,case_type,id,html_url,agent,repo_id,repo_language,feature_task_type,gate_score,score_threshold,score_margin_to_threshold,accepted,high_workload,outcome_downstream_workload_raw,feature_changed_files,feature_additions,feature_deletions,feature_churn,feature_initial_detail_changed_files,feature_initial_detail_churn,feature_initial_detail_test_files,outcome_review_count,outcome_human_review_count,outcome_request_changes_count,outcome_inline_review_comment_count,outcome_issue_comment_count,outcome_followup_commit_count,outcome_followup_detail_changed_files,outcome_followup_detail_churn,outcome_followup_detail_test_files,outcome_related_issue_count,case_summary
repository_disjoint,conservative_abstain_low_workload,3219850150,https://github.com/aldinokemal/go-whatsapp-web-multidevice/pull/338,Cursor,457435290,Go,fix,0.3575963340260249,0.3569324379046899,0.0006638961213349948,False,False,1.0,1.0,3.0,4.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cursor / Go: 1 initial files; 7 initial churn; 1 issue comments
repository_disjoint,conservative_abstain_low_workload,3242101908,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/197,OpenAI_Codex,600355571,Kotlin,feat,0.3576332890584205,0.3569324379046899,0.0007008511537305862,False,False,1.0,1.0,126.0,65.0,191.0,1.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,OpenAI_Codex / Kotlin: 1 initial files; 191 initial churn; 1 follow-up commits
repository_disjoint,conservative_abstain_low_workload,3218588222,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/154,OpenAI_Codex,600355571,Kotlin,feat,0.3579884551980869,0.3569324379046899,0.0010560172933969936,False,False,0.0,17.0,255.0,0.0,255.0,17.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OpenAI_Codex / Kotlin: 17 initial files; 255 initial churn
repository_disjoint,conservative_abstain_low_workload,3203380343,https://github.com/eplatonoff/pilorama/pull/92,OpenAI_Codex,214868921,QML,feat,0.35806912254262185,0.3569324379046899,0.0011366846379319284,False,False,0.0,1.0,7.0,4.0,11.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OpenAI_Codex / QML: 1 initial files; 11 initial churn
repository_disjoint,conservative_abstain_low_workload,3215043586,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/134,OpenAI_Codex,600355571,Kotlin,feat,0.35845545317257865,0.3569324379046899,0.0015230152678887277,False,False,0.0,3.0,59.0,8.0,67.0,3.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OpenAI_Codex / Kotlin: 3 initial files; 67 initial churn
repository_disjoint,conservative_abstain_low_workload,3198524462,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/86,OpenAI_Codex,600355571,Kotlin,feat,0.3584612557878205,0.3569324379046899,0.0015288178831305843,False,False,0.0,9.0,283.0,82.0,365.0,9.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OpenAI_Codex / Kotlin: 9 initial files; 365 initial churn
repository_disjoint,false_accept_high_workload,3220752877,https://github.com/DogukanUrker/FlaskBlog/pull/191,OpenAI_Codex,566979145,Python,feat,0.34006707304184813,0.3569324379046899,-0.016865364862841792,True,True,43.0,20.0,95.0,32.0,127.0,20.0,127.0,0.0,3.0,0.0,0.0,23.0,0.0,17.0,16.0,136.0,0.0,1.0,OpenAI_Codex / Python: 20 initial files; 127 initial churn; 17 follow-up commits; 23 inline review comments; 1 related issues
repository_disjoint,false_accept_high_workload,3130408897,https://github.com/celestiaorg/celestia-core/pull/1948,Copilot,221931137,Go,fix,0.3390152018669656,0.3569324379046899,-0.017917236037724327,True,True,32.0,7.0,3065.0,1.0,3066.0,7.0,3066.0,3.0,0.0,0.0,0.0,0.0,3.0,29.0,84.0,12856.0,37.0,1.0,Copilot / Go: 7 initial files; 3066 initial churn; 3 initial test-like files; 29 follow-up commits; 3 issue comments
repository_disjoint,false_accept_high_workload,3170142810,https://github.com/coderamp-labs/gitingest/pull/315,OpenAI_Codex,895942941,Python,feat,0.2745686633695077,0.3569324379046899,-0.08236377453518223,True,True,30.0,1.0,49.0,26.0,75.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,1.0,29.0,35.0,3328.0,7.0,0.0,OpenAI_Codex / Python: 1 initial files; 75 initial churn; 1 initial test-like files; 29 follow-up commits; 1 issue comments
repository_disjoint,false_accept_high_workload,3254423495,https://github.com/stanford-crfm/levanter/pull/1090,OpenAI_Codex,496005961,Python,docs,0.10078625283666777,0.3569324379046899,-0.25614618506802217,True,True,30.0,5.0,172.0,133.0,305.0,5.0,305.0,3.0,1.0,1.0,0.0,0.0,0.0,29.0,33.0,4915.0,11.0,0.0,OpenAI_Codex / Python: 5 initial files; 305 initial churn; 3 initial test-like files; 29 follow-up commits
repository_disjoint,false_accept_high_workload,3125852505,https://github.com/GodsScion/Auto_job_applier_linkedIn/pull/58,OpenAI_Codex,655060914,Python,feat,0.21403178170528303,0.3569324379046899,-0.1429006561994069,True,True,29.0,1.0,22.0,6.0,28.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,13.0,2360.0,2.0,0.0,OpenAI_Codex / Python: 1 initial files; 28 initial churn; 29 follow-up commits
repository_disjoint,false_accept_high_workload,3245882242,https://github.com/mega-sam/mega-sam/pull/37,OpenAI_Codex,899315170,Python,feat,0.25911389435571386,0.3569324379046899,-0.09781854354897607,True,True,26.0,1.0,113.0,0.0,113.0,1.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,1947.0,2.0,0.0,OpenAI_Codex / Python: 1 initial files; 113 initial churn; 26 follow-up commits
repository_disjoint,safe_accept_low_workload,3106856330,https://github.com/mondaycom/vibe/pull/2917,OpenAI_Codex,301690023,TypeScript,test,0.03488460235132633,0.3569324379046899,-0.3220478355533636,True,False,0.0,86.0,472.0,484.0,956.0,86.0,956.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OpenAI_Codex / TypeScript: 86 initial files; 956 initial churn; 81 initial test-like files
repository_disjoint,safe_accept_low_workload,3115582109,https://github.com/jdeng/goheif/pull/34,OpenAI_Codex,173382994,Go,docs,0.03741950268886213,0.3569324379046899,-0.3195129352158278,True,False,0.0,1.0,25.0,0.0,25.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OpenAI_Codex / Go: 1 initial files; 25 initial churn
repository_disjoint,safe_accept_low_workload,3119082536,https://github.com/satmihir/fair/pull/15,OpenAI_Codex,853101072,Go,docs,0.04101458503153565,0.3569324379046899,-0.31591785287315427,True,False,0.0,1.0,31.0,5.0,36.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OpenAI_Codex / Go: 1 initial files; 36 initial churn
repository_disjoint,safe_accept_low_workload,3123030168,https://github.com/satmihir/fair/pull/16,OpenAI_Codex,853101072,Go,docs,0.04778820244007032,0.3569324379046899,-0.3091442354646196,True,False,0.0,10.0,102.0,28.0,130.0,10.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OpenAI_Codex / Go: 10 initial files; 130 initial churn; 1 initial test-like files
repository_disjoint,safe_accept_low_workload,3126461487,https://github.com/satmihir/fair/pull/20,OpenAI_Codex,853101072,Go,docs,0.054818155458776746,0.3569324379046899,-0.3021142824459132,True,False,0.0,1.0,12.0,1.0,13.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OpenAI_Codex / Go: 1 initial files; 13 initial churn
repository_disjoint,safe_accept_low_workload,3216980260,https://github.com/sebdah/goldie/pull/50,OpenAI_Codex,77579241,Go,test,0.05866761594856769,0.3569324379046899,-0.29826482195612225,True,False,0.0,1.0,37.0,3.0,40.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OpenAI_Codex / Go: 1 initial files; 40 initial churn; 1 initial test-like files
repository_disjoint,useful_abstain_high_workload,3090570894,https://github.com/spcl/dace/pull/2019,Copilot,172703996,Python,feat,0.8226772320905902,0.3569324379046899,0.46574479418590026,False,True,150.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,6.0,6.0,68.0,17.0,29.0,31.0,4094.0,12.0,1.0,Copilot / Python: 1 initial files; 29 follow-up commits; 17 issue comments; 68 inline review comments; 1 related issues
repository_disjoint,useful_abstain_high_workload,3143805151,https://github.com/dotnet/macios/pull/23041,Copilot,56710511,C#,test,0.892534842491699,0.3569324379046899,0.5356024045870091,False,True,132.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,6.0,5.0,54.0,30.0,13.0,627.0,141389.0,248.0,1.0,Copilot / C#: 1 initial files; 13 follow-up commits; 30 issue comments; 54 inline review comments; 1 related issues
repository_disjoint,useful_abstain_high_workload,3148932692,https://github.com/microsoft/Qcodes/pull/7240,Copilot,37137879,Python,fix,0.8341762115805593,0.3569324379046899,0.4772437736758694,False,True,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,50.0,8.0,29.0,11.0,2217.0,6.0,1.0,Copilot / Python: 29 follow-up commits; 8 issue comments; 50 inline review comments; 1 related issues
repository_disjoint,useful_abstain_high_workload,3144351823,https://github.com/dotnet/macios/pull/23045,Copilot,56710511,C#,fix,0.8662594826139878,0.3569324379046899,0.5093270447092979,False,True,116.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,10.0,9.0,32.0,30.0,19.0,638.0,143070.0,253.0,1.0,Copilot / C#: 1 initial files; 19 follow-up commits; 30 issue comments; 32 inline review comments; 1 related issues
repository_disjoint,useful_abstain_high_workload,3130921190,https://github.com/spcl/dace/pull/2036,Copilot,172703996,Python,docs,0.6960638071916401,0.3569324379046899,0.33913136928695015,False,True,114.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,3.0,3.0,62.0,14.0,5.0,3.0,3617.0,0.0,1.0,Copilot / Python: 1 initial files; 5 follow-up commits; 14 issue comments; 62 inline review comments; 1 related issues
repository_disjoint,useful_abstain_high_workload,3221043102,https://github.com/microsoft/typescript-go/pull/1387,Copilot,860100131,Go,feat,0.655972912197797,0.3569324379046899,0.29904047429310704,False,True,113.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,10.0,0.0,42.0,12.0,29.0,1056.0,41434.0,1020.0,1.0,Copilot / Go: 1 initial files; 29 follow-up commits; 12 issue comments; 42 inline review comments; 1 related issues
