id,repo_id,number,html_url,agent,created_at,closed_at,merged_at,feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_changed_files,feature_additions,feature_deletions,feature_initial_commit_count,feature_initial_review_comment_count_api,feature_initial_issue_comment_count_api,feature_churn,feature_repo_stars,repo_language,feature_task_type,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,outcome_commit_detail_changed_files,outcome_commit_detail_additions,outcome_commit_detail_deletions,outcome_commit_detail_churn,outcome_followup_detail_changed_files,outcome_followup_detail_additions,outcome_followup_detail_deletions,outcome_followup_detail_churn,outcome_followup_detail_test_files,outcome_review_count,outcome_request_changes_count,outcome_human_review_count,outcome_inline_review_comment_count,outcome_issue_comment_count,outcome_commit_count,outcome_followup_commit_count,outcome_commit_detail_rows,outcome_timeline_event_count,outcome_related_issue_count,outcome_merged,outcome_resolution_hours,outcome_downstream_workload_raw,outcome_downstream_workload_log,split,gate_score,accepted,high_workload,prediction_workload,prediction_target,q_merge_rate,q_closed_30d_rate,c_initial_burden,xi_workload,v_violation_rate,quality_loss,z_c_initial_burden,z_xi_workload,z_v_violation_rate,z_quality_loss,l_proxy
3231648781,65080725,6023,https://github.com/microsoft/testfx/pull/6023,Copilot,2025-07-15 10:03:21+00:00,2025-07-16 10:03:36+00:00,,62.0,3052.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,908.0,C#,feat,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,903.0,208.0,1111.0,36.0,903.0,208.0,1111.0,16.0,6.0,0.0,2.0,9.0,0.0,9.0,8.0,49.0,28.0,1.0,0.0,24.004166666666663,23.0,3.1780538303479458,temporal,0.838668291969369,False,True,23.0,3.1780538303479458,0.0,1.0,0.34657359027997264,23.0,0.0,1.0,-1.553921570926789,1.6651114986237956,-0.3338200387364729,1.5243016321539857,1.3016715211145193
3231652557,184717139,1268,https://github.com/justtrackio/gosoline/pull/1268,Copilot,2025-07-15 10:04:32+00:00,,,67.0,2546.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,Go,feat,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1281.0,886.0,2167.0,22.0,1281.0,886.0,2167.0,8.0,30.0,6.0,6.0,59.0,7.0,14.0,13.0,73.0,30.0,1.0,0.0,,115.0,4.7535901911063645,temporal,0.6913167344004356,True,True,115.0,4.7535901911063645,0.0,0.0,0.34657359027997264,115.0,1.0,1.0,-1.553921570926789,10.192886131602819,2.995626037864757,1.5243016321539857,13.158892230694772
3231655337,46273445,5826,https://github.com/transloadit/uppy/pull/5826,Cursor,2025-07-15 10:05:24+00:00,2025-07-15 15:19:43+00:00,2025-07-15 15:19:43+00:00,40.0,125.0,0.0,0.0,0.0,3.0,1838.0,79.0,0.0,0.0,0.0,1917.0,29990.0,TypeScript,build,8.0,3.0,1838.0,79.0,1917.0,0.0,3.0,0.0,0.0,24.0,1903.0,79.0,1982.0,22.0,65.0,0.0,65.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,27.0,12.0,0.0,1.0,5.238611111111111,5.0,1.791759469228055,temporal,0.646052237203774,True,False,5.0,1.791759469228055,1.0,1.0,8.252185436003328,5.0,0.0,0.0,1.6730415017523708,-0.0033661469590565477,-0.3338200387364729,-0.656038135042146,0.6798171810146953
3231677792,225880766,2921,https://github.com/KomodoPlatform/komodo-wallet/pull/2921,OpenAI_Codex,2025-07-15 10:12:51+00:00,2025-07-15 10:57:16+00:00,2025-07-15 10:57:16+00:00,62.0,189.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,268.0,Dart,feat,10.0,1.0,5.0,1.0,6.0,0.0,1.0,0.0,0.0,4.0,35.0,23.0,58.0,3.0,30.0,22.0,52.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,15.0,0.0,1.0,0.7402777777777778,3.0,1.3862943611198906,temporal,0.4403831249888245,True,False,3.0,1.3862943611198906,1.0,1.0,2.2924837393352857,3.0,0.0,0.0,-0.7596275534245248,-0.1887525520238179,-0.3338200387364729,-0.656038135042146,-1.9382382792269617
3231681142,41881900,255991,https://github.com/microsoft/vscode/pull/255991,Copilot,2025-07-15 10:13:56+00:00,2025-07-17 13:21:42+00:00,2025-07-17 13:21:42+00:00,46.0,2723.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,175171.0,TypeScript,feat,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,19.0,38.0,2.0,19.0,19.0,38.0,1.0,5.0,0.0,5.0,0.0,4.0,3.0,2.0,4.0,30.0,1.0,1.0,51.129444444444445,11.0,2.4849066497880004,temporal,0.9358758309361768,False,True,11.0,2.4849066497880004,1.0,1.0,0.34657359027997264,11.0,0.0,0.0,-1.553921570926789,0.5527930682352276,-0.3338200387364729,-0.656038135042146,-1.9909866764701805
3231681658,159556794,1123,https://github.com/go-vikunja/vikunja/pull/1123,OpenAI_Codex,2025-07-15 10:14:06+00:00,2025-07-15 11:21:48+00:00,2025-07-15 11:21:48+00:00,45.0,380.0,0.0,1.0,1.0,2.0,69.0,0.0,0.0,0.0,0.0,69.0,2080.0,Go,fix,10.0,2.0,69.0,0.0,69.0,1.0,1.0,0.0,0.0,2.0,69.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,1.1283333333333334,0.0,0.0,temporal,0.1117692145594081,True,False,0.0,0.0,1.0,1.0,4.797801386383414,0.0,0.0,0.0,0.26300898504013603,-0.4668321596209599,-0.3338200387364729,-0.656038135042146,-1.1936813483594428
3231694186,586749482,250,https://github.com/wuba/react-native-echarts/pull/250,Copilot,2025-07-15 10:18:34+00:00,2025-07-15 11:05:08+00:00,2025-07-15 11:05:08+00:00,96.0,2803.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,TypeScript,chore,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,326.0,268.0,594.0,4.0,326.0,268.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,11.0,0.0,1.0,0.7761111111111111,1.0,0.6931471805599453,temporal,0.8674064505311352,False,False,1.0,0.6931471805599453,1.0,1.0,0.34657359027997264,1.0,0.0,0.0,-1.553921570926789,-0.37413895708857925,-0.3338200387364729,-0.656038135042146,-2.917918701793987
3231716362,138458545,1120,https://github.com/python/python-docs-zh-tw/pull/1120,Copilot,2025-07-15 10:26:28+00:00,,,44.0,2472.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,Python,docs,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,209.0,21.0,230.0,1.0,209.0,21.0,230.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,6.0,20.0,1.0,0.0,,7.0,2.0794415416798357,temporal,0.5918223535036827,True,True,7.0,2.0794415416798357,0.0,0.0,0.34657359027997264,7.0,1.0,1.0,-1.553921570926789,0.18202025810570482,2.995626037864757,1.5243016321539857,3.1480263571976583
3231720206,54298946,35372,https://github.com/camunda/camunda/pull/35372,Copilot,2025-07-15 10:27:58+00:00,2025-07-24 01:27:23+00:00,,65.0,6629.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3746.0,Java,feat,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,498.0,475.0,973.0,7.0,498.0,475.0,973.0,4.0,18.0,3.0,11.0,25.0,4.0,7.0,6.0,23.0,30.0,1.0,0.0,206.99027777777775,56.0,4.04305126783455,temporal,0.8885126295066178,False,True,56.0,4.04305126783455,0.0,1.0,0.34657359027997264,56.0,1.0,1.0,-1.553921570926789,4.723987182192358,2.995626037864757,1.5243016321539857,7.689993281284311
3231729538,501095512,3183,https://github.com/odigos-io/odigos/pull/3183,Cursor,2025-07-15 10:31:17+00:00,,,36.0,1115.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,3493.0,Go,feat,9.0,2.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,236.0,16952.0,9849.0,26801.0,235.0,16947.0,9849.0,26796.0,13.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,259.0,10.0,0.0,0.0,,4.0,1.6094379124341005,temporal,0.4425593756719403,True,False,4.0,1.6094379124341005,0.0,0.0,2.34106561356211,4.0,1.0,1.0,-0.73979709410134,-0.09605934949143723,2.995626037864757,1.5243016321539857,3.6840712264259654
